Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0045892	negative regulation of DNA-templated transcription	 	5.656E-5	2.976E-1	3.411E-2	3.119E-1	44	1492	ZNF384,NR2F6,HIVEP1,ESRRA,BCL3,EZH1,FZD1,CITED2,BPTF,PIAS3,ZNF780A,BHLHE22,SAP130,TBX1,FOXC1,DNMT1,CCDC85B,FOXP3,TBX15,FOXS1,VHL,ATF5,NELFB,ZNF322,CHD8,RELA,DPF2,MED1,HIF1AN,YWHAZ,ZFP36,ZIC2,CRYAB,LEFTY2,TBX18,NCOR1,MT3,IGF2,CTCF,PRKACA,SMARCC2,TRPV4,MYOCD,SUMO2
GO: Biological Process	GO:1903507	negative regulation of nucleic acid-templated transcription	 	5.835E-5	3.070E-1	3.411E-2	3.119E-1	44	1494	ZNF384,NR2F6,HIVEP1,ESRRA,BCL3,EZH1,FZD1,CITED2,BPTF,PIAS3,ZNF780A,BHLHE22,SAP130,TBX1,FOXC1,DNMT1,CCDC85B,FOXP3,TBX15,FOXS1,VHL,ATF5,NELFB,ZNF322,CHD8,RELA,DPF2,MED1,HIF1AN,YWHAZ,ZFP36,ZIC2,CRYAB,LEFTY2,TBX18,NCOR1,MT3,IGF2,CTCF,PRKACA,SMARCC2,TRPV4,MYOCD,SUMO2
GO: Biological Process	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	 	6.727E-5	3.539E-1	3.515E-2	3.215E-1	50	1790	ZNF384,NR2F6,HIVEP1,ESRRA,UBQLN4,BCL3,EZH1,FZD1,CITED2,BPTF,PIAS3,ZNF780A,BHLHE22,HNRNPA0,KMT2A,SAP130,TBX1,FOXC1,DNMT1,CCDC85B,FOXP3,TBX15,FOXS1,VHL,ATF5,NELFB,ZNF322,CHD8,RELA,NUDT16L1,DPF2,XRCC1,MED1,PAIP1,HIF1AN,YWHAZ,ZFP36,ZIC2,CRYAB,LEFTY2,TBX18,NCOR1,MT3,IGF2,CTCF,PRKACA,SMARCC2,TRPV4,MYOCD,SUMO2
GO: Biological Process	GO:1902679	negative regulation of RNA biosynthetic process	 	7.350E-5	3.867E-1	3.515E-2	3.215E-1	44	1509	ZNF384,NR2F6,HIVEP1,ESRRA,BCL3,EZH1,FZD1,CITED2,BPTF,PIAS3,ZNF780A,BHLHE22,SAP130,TBX1,FOXC1,DNMT1,CCDC85B,FOXP3,TBX15,FOXS1,VHL,ATF5,NELFB,ZNF322,CHD8,RELA,DPF2,MED1,HIF1AN,YWHAZ,ZFP36,ZIC2,CRYAB,LEFTY2,TBX18,NCOR1,MT3,IGF2,CTCF,PRKACA,SMARCC2,TRPV4,MYOCD,SUMO2
GO: Biological Process	GO:0007498	mesoderm development	 	1.085E-4	5.709E-1	4.728E-2	4.324E-1	13	235	ITGB3,CITED2,JAK2,BMX,NOMO2,KMT2A,TBX1,FOXC1,RELA,ZIC2,ZIC3,LEFTY2,PRKACA
GO: Biological Process	GO:0033002	muscle cell proliferation	 	1.352E-4	7.113E-1	4.728E-2	4.324E-1	16	343	FOXJ2,PTEN,ITGB3,PTGS2,CITED2,JAK2,AKR1B1,NOS3,TBX1,FOXC1,DNMT1,NPR1,APOD,OGN,EDNRA,MYOCD
GO: Biological Process	GO:0048659	smooth muscle cell proliferation	 	1.395E-4	7.340E-1	4.728E-2	4.324E-1	13	241	FOXJ2,PTEN,ITGB3,PTGS2,JAK2,AKR1B1,NOS3,DNMT1,NPR1,APOD,OGN,EDNRA,MYOCD
GO: Biological Process	GO:0010558	negative regulation of macromolecule biosynthetic process	 	1.396E-4	7.344E-1	4.728E-2	4.324E-1	51	1893	ZNF384,NR2F6,HIVEP1,ESRRA,SRP9,TSC1,BCL3,EZH1,FZD1,CITED2,BPTF,PIAS3,ZNF780A,BHLHE22,DHFR,SAP130,TBX1,FOXC1,DNMT1,CCDC85B,FOXP3,TBX15,FOXS1,VHL,ATF5,NELFB,ZNF322,CHD8,RELA,PATL1,DPF2,MED1,PAIP1,HIF1AN,YWHAZ,ZFP36,ZIC2,CRYAB,LEFTY2,TBX18,NCOR1,MT3,IGF2,CTCF,OTUD6B,EIF4E,PRKACA,SMARCC2,TRPV4,MYOCD,SUMO2
GO: Biological Process	GO:0051253	negative regulation of RNA metabolic process	 	1.505E-4	7.918E-1	4.728E-2	4.324E-1	46	1654	ZNF384,NR2F6,HIVEP1,ESRRA,BCL3,EZH1,FZD1,CITED2,BPTF,PIAS3,ZNF780A,BHLHE22,HNRNPA0,SAP130,TBX1,FOXC1,DNMT1,CCDC85B,FOXP3,TBX15,FOXS1,VHL,ATF5,NELFB,ZNF322,CHD8,RELA,DPF2,MED1,PAIP1,HIF1AN,YWHAZ,ZFP36,ZIC2,CRYAB,LEFTY2,TBX18,NCOR1,MT3,IGF2,CTCF,PRKACA,SMARCC2,TRPV4,MYOCD,SUMO2
GO: Biological Process	GO:0006979	response to oxidative stress	 	1.528E-4	8.037E-1	4.728E-2	4.324E-1	21	536	TSC1,MELK,PTGS2,STAU1,FZD1,JAK2,DHFR,AKR1B1,NOS3,RBM11,RELA,APOD,XRCC1,PPIA,EDNRA,FOSL1,CRYAB,PPP2CB,MT3,PDLIM1,HBA1
GO: Cellular Component	GO:0043209	myelin sheath	 	3.377E-6	2.215E-3	1.694E-3	1.197E-2	15	225	ATP5PO,MYO1D,SRD5A1,PTEN,PGAM1,TUBA1B,COX5A,AKR1B1,VDAC2,MPZ,SLC25A5,COX6A1,PPIA,LDHB,CRYAB
GO: Cellular Component	GO:1902494	catalytic complex	 	5.166E-6	3.389E-3	1.694E-3	1.197E-2	56	1911	ATP5MC1,POLR3K,ATP6V0B,ATP5PO,ANKRD9,SF3A1,UBQLN4,PSMC1,NDUFA2,DNAL1,NDUFA4,EZH1,NDUFAB1,NDUFB6,CISH,BPTF,COX5A,ANAPC1,MORF4L1,CYB5R3,KMT2A,UBE2S,DYNLRB1,ATP6V0D2,TAF13,FEM1A,SAP130,SDHC,RAD23A,VHL,TCEA1,CASC3,PSMF1,DCAF13,COX6A1,COX7C,CHD8,ZNFX1,DPF2,MED1,LDHB,ZFP36,WDR74,PPP1R10,NCOR1,PPP2CB,RBM22,PIGT,ORMDL3,PBRM1,PRKACA,SMARCC2,ASB1,SNRPE,TRMT61A,FAM98C
GO: Cellular Component	GO:0098798	mitochondrial protein-containing complex	 	4.445E-5	2.916E-2	9.684E-3	6.841E-2	16	313	ATP5MC1,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,TIMM8A,COX5A,SDHC,SLC25A5,COX6A1,COX7C,TIMM10B,TIMM13,MRPS26,MRPL41
GO: Cellular Component	GO:0098800	inner mitochondrial membrane protein complex	 	6.487E-5	4.255E-2	9.684E-3	6.841E-2	11	164	ATP5MC1,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,COX5A,SDHC,COX6A1,COX7C,TIMM10B
GO: Cellular Component	GO:0042719	mitochondrial intermembrane space protein transporter complex	 	7.651E-5	5.019E-2	9.684E-3	6.841E-2	3	6	TIMM8A,TIMM10B,TIMM13
GO: Cellular Component	GO:0005743	mitochondrial inner membrane	 	8.857E-5	5.810E-2	9.684E-3	6.841E-2	23	596	ATP5MC1,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,TIMM8A,SLC25A43,COX5A,TMEM160,DHFR,CYB5R3,OCIAD2,SDHC,VDAC2,SLC25A5,COX6A1,COX7C,LDHB,TIMM10B,TIMM13,MRPS26,MRPL41
GO: Cellular Component	GO:0031966	mitochondrial membrane	 	1.127E-4	7.392E-2	1.056E-2	7.460E-2	29	857	ATP5MC1,NAT8L,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,SNN,TIMM8A,SLC25A43,COX5A,TMEM160,DHFR,CYB5R3,OCIAD2,SDHC,VDAC2,SLC25A5,COX6A1,NELFB,COX7C,ZNFX1,LDHB,RMDN3,TIMM10B,TIMM13,MT3,MRPS26,MRPL41
GO: Cellular Component	GO:0019866	organelle inner membrane	 	1.344E-4	8.815E-2	1.066E-2	7.527E-2	24	654	ATP5MC1,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,PTGS2,TIMM8A,SLC25A43,COX5A,TMEM160,DHFR,CYB5R3,OCIAD2,SDHC,VDAC2,SLC25A5,COX6A1,COX7C,LDHB,TIMM10B,TIMM13,MRPS26,MRPL41
GO: Cellular Component	GO:0098803	respiratory chain complex	 	1.462E-4	9.590E-2	1.066E-2	7.527E-2	8	96	NDUFA2,NDUFA4,NDUFAB1,NDUFB6,COX5A,SDHC,COX6A1,COX7C
GO: Cellular Component	GO:0005746	mitochondrial respirasome	 	1.811E-4	1.188E-1	1.104E-2	7.798E-2	8	99	NDUFA2,NDUFA4,NDUFAB1,NDUFB6,COX5A,SDHC,COX6A1,COX7C
GO: Cellular Component	GO:0140513	nuclear protein-containing complex	 	1.851E-4	1.214E-1	1.104E-2	7.798E-2	40	1386	POLR3K,SF3B4,SF3A1,UBQLN4,BCL9,EZH1,BPTF,ANAPC1,UBAP2L,MORF4L1,KMT2A,UBE2S,BOP1,TAF13,SAP130,TBX15,TCEA1,CASC3,ATF5,NELFB,E2F2,CHD8,ZNFX1,RELA,DPF2,XRCC1,MED1,FOSL1,WDR74,TBX18,NCOR1,RBM22,PBRM1,EIF5A,SMARCC2,MYOCD,SNRPE,MX2,CPSF7,CHMP1A
GO: Cellular Component	GO:0005740	mitochondrial envelope	 	3.197E-4	2.097E-1	1.662E-2	1.174E-1	29	912	ATP5MC1,NAT8L,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,SNN,TIMM8A,SLC25A43,COX5A,TMEM160,DHFR,CYB5R3,OCIAD2,SDHC,VDAC2,SLC25A5,COX6A1,NELFB,COX7C,ZNFX1,LDHB,RMDN3,TIMM10B,TIMM13,MT3,MRPS26,MRPL41
GO: Cellular Component	GO:0070469	respirasome	 	3.294E-4	2.161E-1	1.662E-2	1.174E-1	8	108	NDUFA2,NDUFA4,NDUFAB1,NDUFB6,COX5A,SDHC,COX6A1,COX7C
GO: Cellular Component	GO:0010494	cytoplasmic stress granule	 	6.168E-4	4.046E-1	2.890E-2	2.042E-1	7	91	STAU1,UBAP2L,PRRC2C,CASC3,ZNFX1,ZFP36,EIF4E
GO: Cellular Component	GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain	 	7.073E-4	4.640E-1	3.093E-2	2.185E-1	4	26	ATP5MC1,ATP6V0B,ATP5PO,ATP6V0D2
GO: Cellular Component	GO:0005751	mitochondrial respiratory chain complex IV	 	8.200E-4	5.379E-1	3.362E-2	2.375E-1	4	27	NDUFA4,COX5A,COX6A1,COX7C
GO: Cellular Component	GO:0031967	organelle envelope	 	9.506E-4	6.236E-1	3.464E-2	2.447E-1	39	1456	ATP5MC1,NAT8L,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,SLC30A1,NDUFB6,PTGS2,SNN,PARP6,TIMM8A,SLC25A43,COX5A,TMEM160,DHFR,CYB5R3,LYPLA1,OCIAD2,SDHC,VDAC2,CASC3,TRPC7,SLC25A5,COX6A1,NELFB,COX7C,ZNFX1,LDHB,EDNRA,RMDN3,TIMM10B,TIMM13,MT3,MRPS26,EIF5A,MRPL41,MX2,CHMP1A
GO: Cellular Component	GO:0031975	envelope	 	9.506E-4	6.236E-1	3.464E-2	2.447E-1	39	1456	ATP5MC1,NAT8L,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,SLC30A1,NDUFB6,PTGS2,SNN,PARP6,TIMM8A,SLC25A43,COX5A,TMEM160,DHFR,CYB5R3,LYPLA1,OCIAD2,SDHC,VDAC2,CASC3,TRPC7,SLC25A5,COX6A1,NELFB,COX7C,ZNFX1,LDHB,EDNRA,RMDN3,TIMM10B,TIMM13,MT3,MRPS26,EIF5A,MRPL41,MX2,CHMP1A
GO: Cellular Component	GO:0045277	respiratory chain complex IV	 	1.233E-3	8.091E-1	4.156E-2	2.936E-1	4	30	NDUFA4,COX5A,COX6A1,COX7C
GO: Cellular Component	GO:0016281	eukaryotic translation initiation factor 4F complex	 	1.267E-3	8.312E-1	4.156E-2	2.936E-1	3	14	EIF4H,OTUD6B,EIF4E
Pathway	M39417	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	WikiPathways	2.773E-6	6.471E-3	2.971E-3	2.476E-2	11	103	ATP5MC1,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,COX5A,SDHC,SLC25A5,COX6A1,COX7C
Pathway	M7272	KEGG_PARKINSONS_DISEASE	KEGG Pathways	4.581E-6	1.069E-2	2.971E-3	2.476E-2	12	130	ATP5MC1,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,COX5A,SDHC,VDAC2,SLC25A5,COX6A1,COX7C
Pathway	M19540	KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG Pathways	5.372E-6	1.254E-2	2.971E-3	2.476E-2	12	132	ATP5MC1,ATP6V0B,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,COX5A,ATP6V0D2,SDHC,COX6A1,COX7C
Pathway	M182	PID_IL3_PATHWAY	PID Pathways	5.954E-6	1.390E-2	2.971E-3	2.476E-2	6	26	CNKSR1,SRP9,CISH,JAK2,YWHAZ,PRKACA
Pathway	M13486	KEGG_HUNTINGTONS_DISEASE	KEGG Pathways	6.365E-6	1.486E-2	2.971E-3	2.476E-2	14	182	ATP5MC1,ATP5PO,NDUFA2,DNAL1,NDUFA4,NDUFAB1,NDUFB6,COX5A,PLCB4,SDHC,VDAC2,SLC25A5,COX6A1,COX7C
Pathway	M1025	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	Reactome Pathways	1.119E-4	2.613E-1	4.354E-2	3.628E-1	10	127	ATP5MC1,ATP5PO,NDUFA2,NDUFA4,NDUFAB1,NDUFB6,COX5A,SDHC,COX6A1,COX7C
Disease	20090601:Barrett	Type 1 diabetes	GWAS	1.400E-3	6.330E-1	3.235E-2	2.165E-1	4	25	PTPN22,UBASH3A,ORMDL3,IL2RA
Disease	192430	VELOCARDIOFACIAL SYNDROME	OMIM MedGen	3.832E-3	1.000E0	3.235E-2	2.165E-1	2	5	DGCR6,TBX1
Disease	cv:C0220704	Velocardiofacial syndrome	Clinical Variations	3.832E-3	1.000E0	3.235E-2	2.165E-1	2	5	DGCR6,TBX1
Disease	cv:C2678065	Myofibrillar myopathy	Clinical Variations	5.672E-3	1.000E0	3.235E-2	2.165E-1	2	6	DES,CRYAB
Disease	cv:C0152264	Familial erythrocytosis	Clinical Variations	5.672E-3	1.000E0	3.235E-2	2.165E-1	2	6	JAK2,VHL
Disease	cv:CN074294	Nonpapillary renal cell carcinoma	Clinical Variations	7.837E-3	1.000E0	3.235E-2	2.165E-1	2	7	VHL,PBRM1
Disease	144700	RENAL CELL CARCINOMA, NONPAPILLARY	OMIM MedGen	7.837E-3	1.000E0	3.235E-2	2.165E-1	2	7	VHL,PBRM1
Disease	20081125:Barrett	Crohn's disease	GWAS	9.159E-3	1.000E0	3.235E-2	2.165E-1	3	22	PTPN22,JAK2,ORMDL3
Disease	20081125:Hakonarson	Type 1 diabetes	GWAS	1.309E-2	1.000E0	3.235E-2	2.165E-1	2	9	PTPN22,RAB5B
Disease	cv:C3279693	Atrial fibrillation, familial, 11	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	GJA5
Disease	cv:C4225349	Mandibulofacial dysostosis with alopecia	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	EDNRA
Disease	600175	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIII	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C0342288	Insulin-dependent diabetes mellitus secretory diarrhea syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	FOXP3
Disease	cv:C0270912	Charcot-Marie-Tooth disease type 1B	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	606835	DIGITAL ARTHROPATHY-BRACHYDACTYLY, FAMILIAL	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C3808953	Nephrotic syndrome, type 8	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ARHGDIA
Disease	cv:C4539948	Spinocerebellar ataxia, autosomal recessive 26	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	XRCC1
Disease	cv:C1858806	Cone-rod dystrophy 3	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ABCA4
Disease	cv:C4225235	Congenital myasthenic syndrome 19	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	COL13A1
Disease	cv:C1866422	Retinitis pigmentosa 19	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ABCA4
Disease	602482	AXENFELD-RIEGER SYNDROME, TYPE 3	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	FOXC1
Disease	cv:C3554209	Pontocerebellar hypoplasia type 8	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CHMP1A
Disease	191100	TUBEROUS SCLEROSIS 1	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TSC1
Disease	cv:C3280790	Atrial septal defect 8	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CITED2
Disease	617973	METHEMOGLOBINEMIA, ALPHA TYPE	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	HBA1
Disease	617613	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 5	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ISCA1
Disease	614669	AURICULOCONDYLAR SYNDROME 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PLCB4
Disease	cv:C3806634	Severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	BCAP31
Disease	614431	VENTRICULAR SEPTAL DEFECT 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CITED2
Disease	614433	ATRIAL SEPTAL DEFECT 8	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CITED2
Disease	cv:C5231472	Megabladder, congenital	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYOCD
Disease	136760	FRONTONASAL DYSPLASIA 1	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ALX3
Disease	603552	HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 4	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	STX11
Disease	604765	CARDIOMYOPATHY, DILATED, 1I	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DES
Disease	cv:C1854416	Macrocephaly-autism syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PTEN
Disease	cv:C4479520	Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	OTUD6B
Disease	181400	SCAPULOPERONEAL SYNDROME, NEUROGENIC, KAESER TYPE	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DES
Disease	181405	SCAPULOPERONEAL SPINAL MUSCULAR ATROPHY	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	263300	POLYCYTHEMIA VERA	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	JAK2
Disease	cv:C0012236	DiGeorge syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TBX1
Disease	cv:C4539919	Multiple mitochondrial dysfunctions syndrome 5	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ISCA1
Disease	cv:C3554495	Autism, susceptibility to, 19	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	EIF4E
Disease	cv:C3554373	Autism, susceptibility to, 18	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CHD8
Disease	cv:C1837915	Chuvash polycythemia	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	VHL
Disease	608810	MYOPATHY, MYOFIBRILLAR, 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CRYAB
Disease	cv:C1853392	Immunodeficiency due to CD25 deficiency	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	IL2RA
Disease	cv:C4225307	Silver-Russell syndrome 3	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	IGF2
Disease	cv:C4479476	Intellectual disability, autosomal recessive 60	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TAF13
Disease	102530	SPERMATOGENIC FAILURE 6	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SPATA16
Disease	614017	CILIARY DYSKINESIA, PRIMARY, 16	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DNAL1
Disease	615349	EHLERS-DANLOS SYNDROME, SPONDYLODYSPLASTIC TYPE, 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	B3GALT6
Disease	cv:C0267662	Congenital secretory diarrhea, chloride type	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SLC26A3
Disease	cv:C0265245	Nager syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SF3B4
Disease	607855	MUSCULAR DYSTROPHY, CONGENITAL MEROSIN-DEFICIENT, 1A	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LAMA2
Disease	20081125:Moffatt	Asthma	GWAS	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ORMDL3
Disease	607736	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2J	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	605309	MACROCEPHALY/AUTISM SYNDROME	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PTEN
Disease	614383		OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CISH
Disease	263400	ERYTHROCYTOSIS, FAMILIAL, 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	VHL
Disease	618625	ROTHMUND-THOMSON SYNDROME, TYPE 1	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ANAPC1
Disease	cv:C1868616	Parastremmatic dwarfism	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
